Time,Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
['Apr'],"['Max', 'Avg', 'Min']","['Max', 'Avg', 'Min']","['Max', 'Avg', 'Min']","['Max', 'Avg', 'Min']","['Max', 'Avg', 'Min']",['Total']
['1'],"['77', '64.1', '52']","['57', '49.7', '45']","['82', '62.0', '38']","['13', '4.9', '0']","['29.8', '29.8', '29.7']",['0.00']
['2'],"['82', '67.4', '52']","['57', '47.1', '37']","['88', '53.1', '23']","['18', '7.7', '1']","['29.7', '29.6', '29.5']",['0.00']
['3'],"['73', '66.4', '54']","['46', '37.9', '27']","['72', '37.2', '18']","['14', '6.0', '0']","['29.7', '29.7', '29.6']",['0.00']
['4'],"['72', '60.5', '45']","['52', '44.1', '37']","['87', '58.5', '29']","['9', '3.8', '0']","['29.7', '29.7', '29.6']",['0.00']
['5'],"['77', '61.9', '45']","['50', '42.6', '36']","['87', '54.5', '25']","['13', '4.7', '0']","['29.8', '29.8', '29.7']",['0.00']
['6'],"['77', '63.9', '46']","['52', '43.0', '37']","['87', '51.2', '24']","['10', '4.3', '0']","['29.8', '29.8', '29.7']",['0.00']
['7'],"['75', '62.5', '52']","['52', '46.6', '43']","['72', '57.3', '38']","['24', '9.2', '0']","['29.8', '29.7', '29.6']",['0.00']
['8'],"['70', '63.6', '57']","['48', '39.9', '30']","['63', '43.5', '24']","['33', '20.9', '5']","['29.8', '29.7', '29.7']",['0.00']
['9'],"['75', '65.7', '59']","['39', '35.9', '28']","['48', '34.4', '24']","['25', '12.7', '1']","['29.7', '29.7', '29.7']",['0.00']
['10'],"['75', '65.5', '54']","['41', '38.2', '34']","['62', '38.0', '25']","['18', '7.5', '0']","['29.7', '29.7', '29.6']",['0.00']
['11'],"['75', '66.6', '54']","['45', '40.6', '36']","['58', '39.1', '31']","['29', '14.5', '1']","['29.8', '29.8', '29.7']",['0.00']
['12'],"['77', '70.3', '66']","['48', '45.1', '43']","['46', '40.8', '34']","['28', '18.5', '5']","['29.8', '29.8', '29.8']",['0.00']
['13'],"['79', '71.3', '63']","['50', '46.5', '45']","['59', '42.1', '30']","['23', '11.9', '0']","['29.8', '29.8', '29.8']",['0.00']
['14'],"['77', '67.5', '55']","['52', '48.8', '46']","['72', '52.6', '36']","['21', '7.3', '0']","['29.9', '29.8', '29.8']",['0.00']
['15'],"['84', '69.3', '48']","['50', '44.6', '37']","['87', '46.7', '20']","['10', '4.3', '0']","['29.8', '29.8', '29.6']",['0.00']
['16'],"['77', '68.5', '57']","['57', '48.7', '43']","['72', '50.1', '36']","['21', '7.8', '0']","['29.6', '29.5', '29.4']",['0.00']
['17'],"['77', '68.0', '59']","['59', '53.0', '46']","['88', '60.3', '39']","['16', '7.0', '1']","['29.5', '29.3', '29.2']",['0.00']
['18'],"['75', '68.2', '61']","['54', '43.1', '39']","['64', '40.9', '29']","['23', '12.7', '5']","['29.5', '29.4', '29.2']",['0.00']
['19'],"['70', '61.6', '52']","['55', '45.1', '41']","['82', '56.4', '35']","['17', '6.2', '0']","['29.5', '29.4', '29.3']",['0.00']
['20'],"['68', '58.5', '52']","['50', '45.6', '41']","['88', '63.4', '43']","['23', '10.4', '2']","['29.6', '29.4', '29.2']",['0.00']
['21'],"['68', '61.8', '52']","['54', '46.2', '34']","['88', '60.1', '28']","['22', '8.9', '0']","['29.6', '29.5', '29.5']",['0.00']
['22'],"['70', '63.4', '57']","['59', '50.5', '43']","['83', '63.2', '49']","['10', '6.3', '1']","['29.7', '29.7', '29.6']",['0.00']
['23'],"['70', '66.5', '63']","['59', '56.3', '54']","['83', '70.6', '56']","['14', '7.2', '2']","['29.7', '29.5', '29.3']",['0.00']
['24'],"['77', '68.8', '63']","['59', '52.9', '43']","['88', '59.2', '29']","['14', '5.8', '1']","['29.4', '29.4', '29.3']",['0.00']
['25'],"['73', '66.7', '57']","['54', '42.6', '37']","['59', '42.3', '27']","['21', '8.6', '1']","['29.5', '29.4', '29.3']",['0.00']
['26'],"['70', '62.2', '50']","['50', '44.1', '39']","['72', '53.0', '33']","['13', '4.6', '0']","['29.6', '29.6', '29.5']",['0.00']
['27'],"['73', '63.1', '46']","['48', '43.0', '34']","['93', '51.7', '27']","['20', '9.0', '0']","['29.7', '29.6', '29.6']",['0.00']
['28'],"['75', '66.3', '57']","['48', '40.8', '30']","['63', '41.8', '19']","['25', '14.6', '5']","['29.8', '29.7', '29.7']",['0.00']
['29'],"['73', '67.4', '63']","['50', '46.3', '37']","['59', '47.6', '29']","['26', '18.3', '5']","['29.8', '29.8', '29.7']",['0.00']
['30'],"['70', '63.4', '57']","['55', '50.7', '48']","['77', '63.4', '49']","['21', '12.6', '6']","['29.8', '29.7', '29.7']",['0.00']
